Site,LONGITUDE (decimal degrees),LATITUDE (decimal degrees),ASPECT (degrees),BSLOPD (degrees),DRNAREA (square km*),DRNDENSITY (dimensionless),ELEV (m*),ELEVMAX (m*),FOREST (percent),I24H2Y (mm*),IMPERV (percent),JANAVPRE2K (mm*),JANMAXT2K (degrees C*),JANMAXTMP (degrees C*),JANMINT2K (degrees C*),JANMINTMP (degrees C*),JULAVPRE2K (mm*),LC11BARE (percent),LC11CRPHAY (percent),LC11DEVHI (percent),LC11DVLO (percent),LC11DVMD (percent),LC11DVOPN (percent),LC11FORSHB (percent),LC11HERB (percent),LC11IMP (percent),LC11WATER (percent),LC11WETLND (percent),MAJ_ROADS (km*),MAXBSLOPD (degrees),MAXTEMP (degrees C*),MINBELEV (m*),MINBSLOPD (degrees),MINTEMP (degrees C*),MIN_ROADS (km*),ORREG2 (dimensionless),OR_HIPERMA (percent),OR_HIPERMG (percent),PRECIP (mm*),RELIEF (m*),SOILPERM (mm* per hour),STATE_HWY (km*),STATSGODEP (mm*),STRMTOT (km*),WATCAPORC (mm*),WATCAPORR (mm per mm)
BEA-SHI,-121.39502,44.95997,162,7.18,297.85,0.69,960.12,1700.78,85.3,36.83,0,125.48,4.89,2.56,-3.72,-5,11.43,0,0,0,0,0,1,97,1,0.19,0,0,15.18,40,13.44,688.85,0,1.11,513.36,363,0,62.7,683.26,1011.94,66.55,31.06,1122.68,205.99,2.13,0.0881
BRO-LAP,-121.79605,43.72364,130,5,52.84,0.56,1572.77,2237.23,86.1,53.85,0,169.42,3.11,2.06,-6.11,-7.11,25.91,0,0,0,0,0,1,98,0,0.19,0,0,7.53,35.9,11.56,1322.83,0,-1.44,66.78,363,0,100,1259.84,914.4,193.55,0,1348.74,29.93,3.56,0.14
CRO-POS,-120.54225,44.1724,178,5.95,6086.47,0.66,1411.22,2176.27,23.1,24.13,0.02,45.72,4,2.72,-7.83,-7.72,15.49,0,1,0,0,0,0,97,0,0.15,0,2,476.34,57.2,14.22,999.74,0,-0.89,4618.6,363,7.37,11.4,381,1176.53,35.05,113.78,853.44,4023.17,2.79,0.11
CUL-LAP,-121.79559,43.81817,172,4.87,39.37,0.36,1551.43,1914.14,97.6,71.37,0,226.57,3.11,2.06,-5.72,-6.83,29.46,1,0,0,0,0,0,97,1,0.0696,0,0,3.06,28,11.39,1356.36,0,-1.22,21.4,363,0,100,1389.38,557.78,126.49,0,1242.06,14.23,2.79,0.11
DES-BEN,-121.30586,44.0792,176,4.9,4817.38,0.33,1517.9,3108.96,81.2,44.96,0.58,129.03,5.22,2.67,-6.89,-7.39,19.3,3,0,0,1,0,2,86,5,0.6,2,1,537.5,65.8,12.89,1072.9,0,-1.5,7692.31,363,16,67.4,896.62,2045.21,261.62,183.46,1379.22,1604.44,4.06,0.16
DES-BFA,-121.41155,43.93051,177,4.96,4506.58,0.33,1524,3108.96,81.5,45.72,0.41,132.08,2.89,2.61,-6.94,-7.44,19.3,2,0,0,0,0,1,87,5,0.46,2,2,455.42,65.8,12.78,1264.92,0,-1.56,7032.51,363,17.1,65.4,916.94,1856.23,264.16,160.44,1397,1499.84,4.06,0.17
DES-BIG,-120.9136,45.63391,173,6.84,27712.87,0.56,1225.3,3413.76,43.5,30.48,0.36,75.18,4.72,3.33,-6.28,-6.22,14.48,1,3,0,1,0,1,89,3,0.51,1,1,3299,74.1,14.33,50.6,0,0.11,29771.48,363,7.51,35,530.86,3352.8,100.58,1221.44,1026.16,15690.38,3.05,0.12
DES-LAP,-121.78244,43.74484,178,6.66,670.81,0.4,1636.78,3108.96,83.7,70.1,0,226.57,3,1.61,-6.06,-7.11,29.21,6,0,0,0,0,1,86,2,0.0946,4,1,70.81,61.3,10.89,1322.83,0,-1.5,574.51,363,0,100,1518.92,1795.27,165.61,0,1193.8,265.53,3.05,0.13
DES-MAD,-121.22859,44.7609,173,5.92,20901.2,0.48,1341.12,3200.4,47.1,30.73,0.45,73.66,7.22,3.28,-6.89,-6.78,15.49,1,3,0,1,0,1,89,3,0.6,1,1,2542.65,74.1,14.17,411.48,0,-0.56,23978.11,363,9.68,36.3,533.4,2773.68,121.41,872.22,1038.86,10090.12,3.05,0.12
DES-WIK,-121.60704,43.7411,161,6.15,1261.32,0.37,1581.91,3108.96,81.3,59.94,0.0027,190.5,3.28,1.94,-6.33,-7.28,24.89,4,0,0,0,0,1,83,4,0.18,6,2,145,61.3,11.5,1295.4,0,-1.5,1581.91,363,3.89,99.2,1287.78,1825.75,182.37,10.86,1219.2,471.52,3.3,0.13
