,S17_WIL-COR,S17_MFW-JAS,S17_MFW-OAK,S17_DES-WIK,S17_DES-BEN,S17_DES-MAD,S17_DES-BIG,S17_WIL-POR,S17_MET-SIS,S17_TRO-GAT,S17_TUM-BEN,S17_DES-BFA,S17_FAL-LAP,S17_CUL-LAP,S17_DES-LAP,S17_BRO-LAP,S17_ODE-LAP,S17_CRE-CRE,S17_CRO-TER,S17_CRO-PRI,S17_WHY-CPR,S17_TUA-DIL,S17_GAL-FOR,S17_TUA-COR,S17_TUA-HIL,S17_TUA-FAR,S17_TRY-LAK,S17_TUA-WES,S17_MOL-CAN,S17_PUD-WOO,S17_LNS-MEH,S17_NSA-MEH,S17_NSA-JEF,S17_WIL-ALB,S17_MAR-PHI,S17_SSA-WAT,S17_FAL-FAL,S17_MCK-SPR,S17_MOH-SPR,S17_MCK-COB,S17_WIL-HAR,S17_MOS-COT,S17_W01-HJA,S17_W02-HJA,S17_W03-HJA,S17_W06-HJA,S17_W07-HJA,S17_W08-HJA,S17_W09-HJA,S17_W10-HJA,S17_MAC-HJA,S17_LOO-HJA,S17_NSA-DET,S17_SSA-CAS,S17_LTR-NOT
S17_WIL-COR,0,0.457604426,0.55917909,0.502414859,0.306012605,0.557396513,0.212909472,0.502671338,0.531166515,0.480657709,0.464542547,0.394615903,0.439732179,0.488634807,0.502717655,0.555642382,0.45010863,0.524470857,0.196830136,0.409562581,0.534911669,0.498022039,0.166593191,0.319240658,0.203927689,0.222526508,0.260191874,0.381725776,0.20376465,0.360952694,0.261376747,0.239980087,0.163612589,0.169584318,0.228879563,0.466112006,0.452296636,0.35373168,0.193693049,0.281136938,0.122477411,0.224878024,0.543200808,0.511095506,0.537994023,0.51487887,0.526548878,0.57702176,0.524644769,0.543641334,0.570901798,0.567577277,0.438619634,0.392764442,0.234656808
S17_MFW-JAS,0.457604426,0,0.2505349,0.213751079,0.282802991,0.325658323,0.440224409,0.259007512,0.358884169,0.349804191,0.395112378,0.303765983,0.417856629,0.403094257,0.347271725,0.443785987,0.275330165,0.381655131,0.489382368,0.283882291,0.550958474,0.234661837,0.510425035,0.300096373,0.399325002,0.428983826,0.492549612,0.326439181,0.568265874,0.33564736,0.593112138,0.347216262,0.464391534,0.492970112,0.390366485,0.237320261,0.250923846,0.348186749,0.532645143,0.372897489,0.441794555,0.609773465,0.440672028,0.351207378,0.382968654,0.412054386,0.415383883,0.438312386,0.417674562,0.443895079,0.397709775,0.418998648,0.417572247,0.46080831,0.381766282
S17_MFW-OAK,0.55917909,0.2505349,0,0.266635796,0.378302576,0.411175581,0.557801715,0.272906345,0.415055741,0.411237525,0.449890738,0.376134828,0.477385523,0.452951686,0.375898067,0.486483442,0.354581345,0.427472547,0.550485877,0.336956728,0.611702967,0.260612208,0.572689081,0.362975813,0.461707379,0.496901145,0.547362854,0.357581277,0.629519895,0.368872234,0.660301899,0.437168549,0.560571735,0.583042349,0.447670489,0.274596739,0.278677924,0.442561283,0.597799518,0.471962042,0.539066403,0.657361426,0.467953818,0.42667151,0.407454771,0.445780348,0.439803442,0.454660924,0.447500189,0.474374852,0.419709894,0.43542172,0.496032814,0.525694552,0.446424681
S17_DES-WIK,0.502414859,0.213751079,0.266635796,0,0.264256332,0.306917154,0.471340146,0.210890683,0.352915509,0.344349337,0.386575765,0.263715396,0.426868052,0.411114608,0.344177002,0.445278217,0.274168649,0.332082304,0.50550663,0.295807897,0.551600673,0.213858239,0.526864382,0.306722158,0.409621684,0.435018637,0.488326271,0.301031411,0.58606321,0.336446158,0.601826057,0.378720852,0.493278867,0.512313178,0.404959283,0.23697026,0.228489588,0.368450962,0.561078137,0.383629004,0.470778294,0.628965952,0.433196274,0.332533998,0.354821728,0.400005882,0.396625619,0.40086403,0.400287584,0.446115446,0.373648048,0.412422241,0.416923677,0.476566951,0.400882601
S17_DES-BEN,0.306012605,0.282802991,0.378302576,0.264256332,0,0.375529238,0.312407051,0.319830022,0.386223838,0.366989017,0.335876876,0.228274185,0.326887533,0.379224064,0.352793902,0.448780198,0.280463864,0.389965525,0.321400112,0.2803178,0.453557342,0.327806687,0.346344888,0.189571442,0.224182541,0.236703422,0.352144729,0.209796814,0.394662186,0.240741205,0.448678011,0.233425729,0.319754432,0.322331198,0.216412918,0.293708469,0.266839254,0.306850965,0.372473612,0.239490445,0.282737133,0.450382889,0.45399309,0.395361538,0.417141332,0.410542124,0.41293457,0.469439428,0.438129365,0.461487402,0.440828787,0.452570543,0.338843724,0.397846916,0.235350355
S17_DES-MAD,0.557396513,0.325658323,0.411175581,0.306917154,0.375529238,0,0.508852544,0.369942366,0.358622238,0.441121099,0.481741777,0.383074669,0.444618766,0.421311246,0.331472446,0.43525153,0.343600574,0.449245755,0.56439611,0.413622694,0.627169578,0.38607465,0.577995443,0.409281809,0.485061517,0.50356685,0.543937306,0.453828252,0.641670229,0.487262326,0.636893831,0.432423354,0.549806421,0.557973259,0.507038674,0.346991959,0.374958804,0.452947333,0.620061995,0.450657014,0.521896186,0.674598951,0.509142182,0.434424175,0.467491479,0.508531338,0.516270907,0.524427371,0.480622535,0.517279105,0.466294802,0.401175522,0.487579096,0.533154428,0.492485499
S17_DES-BIG,0.212909472,0.440224409,0.557801715,0.471340146,0.312407051,0.508852544,0,0.472415134,0.467238428,0.430303098,0.439701151,0.403784269,0.397366505,0.444001957,0.489399816,0.507155105,0.417858297,0.506089189,0.261087029,0.413605892,0.523832838,0.509126752,0.316365036,0.364667407,0.3300206,0.34280163,0.315180653,0.399936462,0.314740071,0.436845773,0.23437693,0.253616936,0.140174341,0.277141189,0.330098604,0.4697693,0.471473531,0.387184151,0.332722497,0.305161933,0.229311247,0.262435502,0.526072771,0.475016807,0.510213636,0.488352786,0.501688875,0.546268082,0.508130418,0.52559816,0.532156406,0.532385794,0.39632209,0.372037541,0.31098683
S17_WIL-POR,0.502671338,0.259007512,0.272906345,0.210890683,0.319830022,0.369942366,0.472415134,0,0.371361907,0.355392123,0.404835188,0.302185277,0.42186746,0.398616757,0.318219012,0.474158554,0.297331538,0.346702423,0.482221961,0.330008504,0.571539684,0.25548871,0.522981912,0.330595919,0.40319823,0.426472267,0.488505609,0.231549396,0.580329041,0.301340239,0.584574998,0.393812341,0.498844269,0.500556809,0.390439125,0.249122556,0.24139282,0.381863561,0.549754307,0.395571725,0.47688863,0.611247078,0.433411543,0.358717733,0.363443573,0.41474785,0.421165424,0.410363948,0.386442094,0.456594255,0.404523752,0.424940146,0.426146476,0.47093037,0.372546741
S17_MET-SIS,0.531166515,0.358884169,0.415055741,0.352915509,0.386223838,0.358622238,0.467238428,0.371361907,0,0.301855039,0.300140965,0.343098755,0.267784666,0.230682812,0.351941393,0.263575053,0.285386157,0.395562682,0.494681374,0.358768419,0.463451307,0.421611289,0.534717005,0.385477144,0.464515407,0.472195648,0.469085116,0.440112014,0.595722436,0.468618351,0.574442423,0.397772936,0.506460206,0.548486889,0.467183949,0.323821793,0.355732562,0.336836342,0.54317615,0.348188376,0.483626643,0.606776557,0.406552653,0.376702072,0.389009642,0.37885648,0.381374939,0.424743081,0.386526357,0.414259364,0.338016988,0.249157546,0.287121458,0.408229382,0.443386603
S17_TRO-GAT,0.480657709,0.349804191,0.411237525,0.344349337,0.366989017,0.441121099,0.430303098,0.355392123,0.301855039,0,0.294347793,0.308800395,0.323552669,0.284709019,0.409363675,0.341404709,0.324112033,0.355447087,0.426282194,0.326421363,0.46791078,0.384518718,0.482627192,0.347928984,0.411143156,0.408193479,0.398233669,0.385139009,0.549107118,0.397258332,0.540019107,0.409859325,0.459102809,0.498368176,0.429387796,0.315121605,0.355816889,0.294442303,0.498765804,0.346205163,0.442044004,0.569461412,0.303359756,0.26971613,0.28915833,0.260135611,0.259542772,0.299573474,0.299374254,0.327594732,0.300321663,0.341160738,0.340473662,0.361069241,0.387218617
